shop_id,merchant_name,daily_orders,subsidy_per_order_w1,subsidy_per_order_w2,subsidy_diff,contribution_pct,expose_uv_w1,visit_uv_w1,order_uv_w1,expose_uv_w2,visit_uv_w2,order_uv_w2,expose_wow_pct,visit_wow_pct,order_wow_pct,ctr_w1_pct,ctr_w2_pct,cvr_w1_pct,cvr_w2_pct,diagnosis
159406741,Universidade da Pizza,121,40,31,-8.5,10.8%,45810,3809,868,39255,2770,407,-14.3,-27.3,-53.1,8.3,7.1,22.8,14.7,Traffic-driven
159580688,Nory Sushi,129,44,38,-6.0,8.1%,42522,5541,850,48978,4895,877,15.2,-11.7,3.2,13.0,10.0,15.3,17.9,"Traffic up, subsidy cut"
159409646,Family Chicken,36,45,24,-20.9,8.0%,28941,1979,251,15808,1221,97,-45.4,-38.3,-61.4,6.8,7.7,12.7,7.9,Traffic-driven
159554741,Porcoes Deliciosas,55,65,56,-9.3,5.4%,24126,2023,374,26423,2139,201,9.5,5.7,-46.3,8.4,8.1,18.5,9.4,Conversion issue
159396293,Delicias da Luh,48,26,18,-8.0,4.0%,17220,2681,320,14698,2414,272,-14.6,-10.0,-15.0,15.6,16.4,11.9,11.3,Traffic-driven
159562167,Imperio da Pizza II,38,61,55,-6.2,2.5%,21033,2026,267,23169,1839,166,10.2,-9.2,-37.8,9.6,7.9,13.2,9.0,"Traffic up, subsidy cut"
159479098,JB Lanches e Porcoes,52,24,20,-4.3,2.4%,21213,3042,361,23383,3496,433,10.2,14.9,19.9,14.3,15.0,11.9,12.4,"Traffic up, subsidy cut"
159589789,Patos Pizzaria,27,10,4,-6.8,2.0%,15321,1527,184,9691,1177,167,-36.7,-22.9,-9.2,10.0,12.1,12.0,14.2,Traffic-driven
159413600,Nara sushi 013,122,25,24,-1.5,1.9%,31922,4049,801,28976,3369,701,-9.2,-16.8,-12.5,12.7,11.6,19.8,20.8,Mixed
159386229,Boteco da Unidos,69,6,3,-2.6,1.9%,20802,3164,476,18743,2808,397,-9.9,-11.3,-16.6,15.2,15.0,15.0,14.1,Mixed
159400682,Medeiros Burguer & Cia,14,33,21,-12.1,1.7%,12270,982,109,7137,442,34,-41.8,-55.0,-68.8,8.0,6.2,11.1,7.7,Traffic-driven
159396292,Pizzaria Mondialle,82,21,20,-1.9,1.7%,21491,2544,525,24485,2803,550,13.9,10.2,4.8,11.8,11.4,20.6,19.6,"Traffic up, subsidy cut"
159398707,Venturini Pizzaria,8,17,0,-16.8,1.5%,9204,609,70,4777,228,21,-48.1,-62.6,-70.0,6.6,4.8,11.5,9.2,Traffic-driven
159397008,Nao e Pizza Sunflower,9,58,44,-14.0,1.4%,8828,620,65,8278,491,50,-6.2,-20.8,-23.1,7.0,5.9,10.5,10.2,Conversion issue
159407531,Ohana's Food Churrasco,9,45,31,-14.0,1.4%,13763,1152,65,9624,1069,64,-30.1,-7.2,-1.5,8.4,11.1,5.6,6.0,Traffic-driven
159384595,Hey Burger,49,44,41,-2.6,1.3%,20792,1844,371,15040,1058,184,-27.7,-42.6,-50.4,8.9,7.0,20.1,17.4,Traffic-driven
159383975,Guigoboro,5,26,3,-23.6,1.2%,10926,529,39,4301,176,12,-60.6,-66.7,-69.2,4.8,4.1,7.4,6.8,Traffic-driven
159397726,Don Julito Pizzaria,12,9,0,-9.5,1.1%,6644,388,77,4202,304,64,-36.8,-21.6,-16.9,5.8,7.2,19.8,21.1,Traffic-driven
159424703,Pizzaria Magnifica,53,19,17,-2.1,1.1%,19106,1846,348,22280,2191,477,16.6,18.7,37.1,9.7,9.8,18.9,21.8,"Traffic up, subsidy cut"
159407189,Brisa do Mar,10,30,21,-9.9,1.1%,21013,819,69,15278,856,83,-27.3,4.5,20.3,3.9,5.6,8.4,9.7,Traffic-driven
159590279,Hot Roll Belmiro 0.99,52,38,36,-1.9,1.0%,27580,2852,373,38262,3713,534,38.7,30.2,43.2,10.3,9.7,13.1,14.4,"Traffic up, subsidy cut"
159393945,Burgout,11,28,20,-8.4,1.0%,10398,599,74,12331,741,85,18.6,23.7,14.9,5.8,6.0,12.4,11.5,"Traffic up, subsidy cut"
159569779,Galo Quente 2,23,9,5,-3.9,1.0%,12429,961,164,12640,1133,195,1.7,17.9,18.9,7.7,9.0,17.1,17.2,Mixed
159416081,Sao Dubas,16,31,25,-5.6,0.9%,24551,1207,126,15617,522,50,-36.4,-56.8,-60.3,4.9,3.3,10.4,9.6,Traffic-driven
159424989,Tentacao na Chapa,52,23,21,-1.7,0.9%,24710,2813,353,24271,2491,311,-1.8,-11.4,-11.9,11.4,10.3,12.5,12.5,Mixed
159607589,Nagoya Temakeria,12,12,5,-6.9,0.9%,21898,996,82,13004,754,65,-40.6,-24.3,-20.7,4.5,5.8,8.2,8.6,Traffic-driven
159491766,Pizgo Pizzas,45,26,24,-1.8,0.8%,31353,2700,343,34218,3023,371,9.1,12.0,8.2,8.6,8.8,12.7,12.3,Mixed
159476603,Buona Cia - Pizzeria,10,8,0,-7.7,0.8%,7610,512,73,4431,354,52,-41.8,-30.9,-28.8,6.7,8.0,14.3,14.7,Traffic-driven
159399726,Don Sushi Delivery,57,26,25,-1.3,0.8%,41604,2737,388,25514,1883,255,-38.7,-31.2,-34.3,6.6,7.4,14.2,13.5,Traffic-driven
159401367,Meu Lugar Bar,47,24,22,-1.4,0.7%,30794,1920,342,17176,1513,321,-44.2,-21.2,-6.1,6.2,8.8,17.8,21.2,Traffic-driven
